"CODIBGE","REGIAO","UF","CIDADE","PAIS","LOCCIDADE","POPESTIMADA","POPCLASSE"
3165800,"Sudeste","MG","Senador José Bento","Brasil","Senador José Bento, MG",1672,"Até 5000"
3165909,"Sudeste","MG","Senador Modestino Gonçalves","Brasil","Senador Modestino Gonçalves, MG",4410,"Até 5000"
3166006,"Sudeste","MG","Senhora de Oliveira","Brasil","Senhora de Oliveira, MG",5892,"5001 até 10000"
3166105,"Sudeste","MG","Senhora do Porto","Brasil","Senhora do Porto, MG",3602,"Até 5000"
3166204,"Sudeste","MG","Senhora dos Remédios","Brasil","Senhora dos Remédios, MG",10622,"10001 até 20000"
3166303,"Sudeste","MG","Sericita","Brasil","Sericita, MG",7434,"5001 até 10000"
3166402,"Sudeste","MG","Seritinga","Brasil","Seritinga, MG",1874,"Até 5000"
3166501,"Sudeste","MG","Serra Azul de Minas","Brasil","Serra Azul de Minas, MG",4372,"Até 5000"
3166600,"Sudeste","MG","Serra da Saudade","Brasil","Serra da Saudade, MG",812,"Até 5000"
3166709,"Sudeste","MG","Serra dos Aimorés","Brasil","Serra dos Aimorés, MG",8809,"5001 até 10000"
3166808,"Sudeste","MG","Serra do Salitre","Brasil","Serra do Salitre, MG",11491,"10001 até 20000"
3166907,"Sudeste","MG","Serrania","Brasil","Serrania, MG",7812,"5001 até 10000"
3166956,"Sudeste","MG","Serranópolis de Minas","Brasil","Serranópolis de Minas, MG",4769,"Até 5000"
3167004,"Sudeste","MG","Serranos","Brasil","Serranos, MG",2023,"Até 5000"
3167103,"Sudeste","MG","Serro","Brasil","Serro, MG",21435,"20001 até 50000"
3167202,"Sudeste","MG","Sete Lagoas","Brasil","Sete Lagoas, MG",236228,"100001 até 500000"
3167301,"Sudeste","MG","Silveirânia","Brasil","Silveirânia, MG",2292,"Até 5000"
3167400,"Sudeste","MG","Silvianópolis","Brasil","Silvianópolis, MG",6314,"5001 até 10000"
3167509,"Sudeste","MG","Simão Pereira","Brasil","Simão Pereira, MG",2651,"Até 5000"
3167608,"Sudeste","MG","Simonésia","Brasil","Simonésia, MG",19633,"10001 até 20000"
3167707,"Sudeste","MG","Sobrália","Brasil","Sobrália, MG",5791,"5001 até 10000"
3167806,"Sudeste","MG","Soledade de Minas","Brasil","Soledade de Minas, MG",6131,"5001 até 10000"
3167905,"Sudeste","MG","Tabuleiro","Brasil","Tabuleiro, MG",3963,"Até 5000"
3168002,"Sudeste","MG","Taiobeiras","Brasil","Taiobeiras, MG",33824,"20001 até 50000"
3168051,"Sudeste","MG","Taparuba","Brasil","Taparuba, MG",3196,"Até 5000"
3168101,"Sudeste","MG","Tapira","Brasil","Tapira, MG",4650,"Até 5000"
3168200,"Sudeste","MG","Tapiraí","Brasil","Tapiraí, MG",1921,"Até 5000"
3168309,"Sudeste","MG","Taquaraçu de Minas","Brasil","Taquaraçu de Minas, MG",4075,"Até 5000"
3168408,"Sudeste","MG","Tarumirim","Brasil","Tarumirim, MG",14667,"10001 até 20000"
3168507,"Sudeste","MG","Teixeiras","Brasil","Teixeiras, MG",11836,"10001 até 20000"
3168606,"Sudeste","MG","Teófilo Otoni","Brasil","Teófilo Otoni, MG",141934,"100001 até 500000"
3168705,"Sudeste","MG","Timóteo","Brasil","Timóteo, MG",88931,"50001 até 100000"
3168804,"Sudeste","MG","Tiradentes","Brasil","Tiradentes, MG",7807,"5001 até 10000"
3168903,"Sudeste","MG","Tiros","Brasil","Tiros, MG",6795,"5001 até 10000"
3169000,"Sudeste","MG","Tocantins","Brasil","Tocantins, MG",16766,"10001 até 20000"
3130606,"Sudeste","MG","Inconfidentes","Brasil","Inconfidentes, MG",7356,"5001 até 10000"
3130655,"Sudeste","MG","Indaiabira","Brasil","Indaiabira, MG",7524,"5001 até 10000"
3130705,"Sudeste","MG","Indianópolis","Brasil","Indianópolis, MG",6806,"5001 até 10000"
3304524,"Sudeste","RJ","Rio das Ostras","Brasil","Rio das Ostras, RJ",141117,"100001 até 500000"
3304557,"Sudeste","RJ","Rio de Janeiro","Brasil","Rio de Janeiro, RJ",6520266,"Maior que 500000"
3304607,"Sudeste","RJ","Santa Maria Madalena","Brasil","Santa Maria Madalena, RJ",10172,"10001 até 20000"
3304706,"Sudeste","RJ","Santo Antônio de Pádua","Brasil","Santo Antônio de Pádua, RJ",41312,"20001 até 50000"
3304755,"Sudeste","RJ","São Francisco de Itabapoana","Brasil","São Francisco de Itabapoana, RJ",41191,"20001 até 50000"
3304805,"Sudeste","RJ","São Fidélis","Brasil","São Fidélis, RJ",37689,"20001 até 50000"
3304904,"Sudeste","RJ","São Gonçalo","Brasil","São Gonçalo, RJ",1049826,"Maior que 500000"
3305000,"Sudeste","RJ","São João da Barra","Brasil","São João da Barra, RJ",35174,"20001 até 50000"
3305109,"Sudeste","RJ","São João de Meriti","Brasil","São João de Meriti, RJ",460461,"100001 até 500000"
3305133,"Sudeste","RJ","São José de Ubá","Brasil","São José de Ubá, RJ",6953,"5001 até 10000"
3305158,"Sudeste","RJ","São José do Vale do Rio Preto","Brasil","São José do Vale do Rio Preto, RJ",21114,"20001 até 50000"
3305208,"Sudeste","RJ","São Pedro da Aldeia","Brasil","São Pedro da Aldeia, RJ",99906,"50001 até 100000"
3305307,"Sudeste","RJ","São Sebastião do Alto","Brasil","São Sebastião do Alto, RJ",9094,"5001 até 10000"
3305406,"Sudeste","RJ","Sapucaia","Brasil","Sapucaia, RJ",17765,"10001 até 20000"
3305505,"Sudeste","RJ","Saquarema","Brasil","Saquarema, RJ",85175,"50001 até 100000"
3305554,"Sudeste","RJ","Seropédica","Brasil","Seropédica, RJ",84416,"50001 até 100000"
3305604,"Sudeste","RJ","Silva Jardim","Brasil","Silva Jardim, RJ",21253,"20001 até 50000"
3305703,"Sudeste","RJ","Sumidouro","Brasil","Sumidouro, RJ",15191,"10001 até 20000"
3305752,"Sudeste","RJ","Tanguá","Brasil","Tanguá, RJ",32970,"20001 até 50000"
3305802,"Sudeste","RJ","Teresópolis","Brasil","Teresópolis, RJ",176060,"100001 até 500000"
3305901,"Sudeste","RJ","Trajano de Moraes","Brasil","Trajano de Moraes, RJ",10352,"10001 até 20000"
3306008,"Sudeste","RJ","Três Rios","Brasil","Três Rios, RJ",79402,"50001 até 100000"
3306107,"Sudeste","RJ","Valença","Brasil","Valença, RJ",74237,"50001 até 100000"
3306156,"Sudeste","RJ","Varre-Sai","Brasil","Varre-Sai, RJ",10597,"10001 até 20000"
3306206,"Sudeste","RJ","Vassouras","Brasil","Vassouras, RJ",35768,"20001 até 50000"
3306305,"Sudeste","RJ","Volta Redonda","Brasil","Volta Redonda, RJ",265201,"100001 até 500000"
3500105,"Sudeste","SP","Adamantina","Brasil","Adamantina, SP",35139,"20001 até 50000"
3500204,"Sudeste","SP","Adolfo","Brasil","Adolfo, SP",3609,"Até 5000"
3500303,"Sudeste","SP","Aguaí","Brasil","Aguaí, SP",35508,"20001 até 50000"
3500402,"Sudeste","SP","Águas da Prata","Brasil","Águas da Prata, SP",8104,"5001 até 10000"
3500501,"Sudeste","SP","Águas de Lindóia","Brasil","Águas de Lindóia, SP",18509,"10001 até 20000"
3500550,"Sudeste","SP","Águas de Santa Bárbara","Brasil","Águas de Santa Bárbara, SP",6009,"5001 até 10000"
3500600,"Sudeste","SP","Águas de São Pedro","Brasil","Águas de São Pedro, SP",3268,"Até 5000"
3500709,"Sudeste","SP","Agudos","Brasil","Agudos, SP",36880,"20001 até 50000"
3500758,"Sudeste","SP","Alambari","Brasil","Alambari, SP",5754,"5001 até 10000"
3500808,"Sudeste","SP","Alfredo Marcondes","Brasil","Alfredo Marcondes, SP",4135,"Até 5000"
3500907,"Sudeste","SP","Altair","Brasil","Altair, SP",4109,"Até 5000"
3501004,"Sudeste","SP","Altinópolis","Brasil","Altinópolis, SP",16219,"10001 até 20000"
3501103,"Sudeste","SP","Alto Alegre","Brasil","Alto Alegre, SP",4154,"Até 5000"
3501152,"Sudeste","SP","Alumínio","Brasil","Alumínio, SP",18324,"10001 até 20000"
3501202,"Sudeste","SP","Álvares Florence","Brasil","Álvares Florence, SP",3795,"Até 5000"
3501301,"Sudeste","SP","Álvares Machado","Brasil","Álvares Machado, SP",24813,"20001 até 50000"
3501400,"Sudeste","SP","Álvaro de Carvalho","Brasil","Álvaro de Carvalho, SP",5119,"5001 até 10000"
3501509,"Sudeste","SP","Alvinlândia","Brasil","Alvinlândia, SP",3196,"Até 5000"
3501608,"Sudeste","SP","Americana","Brasil","Americana, SP",233868,"100001 até 500000"
3501707,"Sudeste","SP","Américo Brasiliense","Brasil","Américo Brasiliense, SP",39189,"20001 até 50000"
3501806,"Sudeste","SP","Américo de Campos","Brasil","Américo de Campos, SP",5967,"5001 até 10000"
3501905,"Sudeste","SP","Amparo","Brasil","Amparo, SP",71193,"50001 até 100000"
3502002,"Sudeste","SP","Analândia","Brasil","Analândia, SP",4845,"Até 5000"
3502101,"Sudeste","SP","Andradina","Brasil","Andradina, SP",57350,"50001 até 100000"
3502200,"Sudeste","SP","Angatuba","Brasil","Angatuba, SP",24634,"20001 até 50000"
3502309,"Sudeste","SP","Anhembi","Brasil","Anhembi, SP",6484,"5001 até 10000"
3502408,"Sudeste","SP","Anhumas","Brasil","Anhumas, SP",4053,"Até 5000"
3502507,"Sudeste","SP","Aparecida","Brasil","Aparecida, SP",36279,"20001 até 50000"
3502606,"Sudeste","SP","Aparecida d'Oeste","Brasil","Aparecida d'Oeste, SP",4329,"Até 5000"
3502705,"Sudeste","SP","Apiaí","Brasil","Apiaí, SP",24945,"20001 até 50000"
3502754,"Sudeste","SP","Araçariguama","Brasil","Araçariguama, SP",21038,"20001 até 50000"
3502804,"Sudeste","SP","Araçatuba","Brasil","Araçatuba, SP",194874,"100001 até 500000"
3502903,"Sudeste","SP","Araçoiaba da Serra","Brasil","Araçoiaba da Serra, SP",32495,"20001 até 50000"
3503000,"Sudeste","SP","Aramina","Brasil","Aramina, SP",5552,"5001 até 10000"
3503109,"Sudeste","SP","Arandu","Brasil","Arandu, SP",6368,"5001 até 10000"
3503158,"Sudeste","SP","Arapeí","Brasil","Arapeí, SP",2509,"Até 5000"
3503208,"Sudeste","SP","Araraquara","Brasil","Araraquara, SP",230770,"100001 até 500000"
3503307,"Sudeste","SP","Araras","Brasil","Araras, SP",131282,"100001 até 500000"
3503356,"Sudeste","SP","Arco-Íris","Brasil","Arco-Íris, SP",1856,"Até 5000"
3503406,"Sudeste","SP","Arealva","Brasil","Arealva, SP",8452,"5001 até 10000"
3503505,"Sudeste","SP","Areias","Brasil","Areias, SP",3879,"Até 5000"
3503604,"Sudeste","SP","Areiópolis","Brasil","Areiópolis, SP",11107,"10001 até 20000"
3503703,"Sudeste","SP","Ariranha","Brasil","Ariranha, SP",9451,"5001 até 10000"
3503802,"Sudeste","SP","Artur Nogueira","Brasil","Artur Nogueira, SP",51986,"50001 até 100000"
3503901,"Sudeste","SP","Arujá","Brasil","Arujá, SP",86430,"50001 até 100000"
3503950,"Sudeste","SP","Aspásia","Brasil","Aspásia, SP",1842,"Até 5000"
3504008,"Sudeste","SP","Assis","Brasil","Assis, SP",102924,"100001 até 500000"
3504107,"Sudeste","SP","Atibaia","Brasil","Atibaia, SP",139683,"100001 até 500000"
3504206,"Sudeste","SP","Auriflama","Brasil","Auriflama, SP",15085,"10001 até 20000"
3504305,"Sudeste","SP","Avaí","Brasil","Avaí, SP",5337,"5001 até 10000"
3504404,"Sudeste","SP","Avanhandava","Brasil","Avanhandava, SP",13112,"10001 até 20000"
3504503,"Sudeste","SP","Avaré","Brasil","Avaré, SP",89479,"50001 até 100000"
3504602,"Sudeste","SP","Bady Bassitt","Brasil","Bady Bassitt, SP",16843,"10001 até 20000"
3504701,"Sudeste","SP","Balbinos","Brasil","Balbinos, SP",5188,"5001 até 10000"
3504800,"Sudeste","SP","Bálsamo","Brasil","Bálsamo, SP",8908,"5001 até 10000"
3504909,"Sudeste","SP","Bananal","Brasil","Bananal, SP",10867,"10001 até 20000"
3505005,"Sudeste","SP","Barão de Antonina","Brasil","Barão de Antonina, SP",3406,"Até 5000"
3505104,"Sudeste","SP","Barbosa","Brasil","Barbosa, SP",7251,"5001 até 10000"
3505203,"Sudeste","SP","Bariri","Brasil","Bariri, SP",34602,"20001 até 50000"
3505302,"Sudeste","SP","Barra Bonita","Brasil","Barra Bonita, SP",36331,"20001 até 50000"
3505351,"Sudeste","SP","Barra do Chapéu","Brasil","Barra do Chapéu, SP",5653,"5001 até 10000"
3505401,"Sudeste","SP","Barra do Turvo","Brasil","Barra do Turvo, SP",7781,"5001 até 10000"
3505500,"Sudeste","SP","Barretos","Brasil","Barretos, SP",120638,"100001 até 500000"
3505609,"Sudeste","SP","Barrinha","Brasil","Barrinha, SP",31921,"20001 até 50000"
3505708,"Sudeste","SP","Barueri","Brasil","Barueri, SP",267534,"100001 até 500000"
3505807,"Sudeste","SP","Bastos","Brasil","Bastos, SP",21073,"20001 até 50000"
3505906,"Sudeste","SP","Batatais","Brasil","Batatais, SP",61480,"50001 até 100000"
3506003,"Sudeste","SP","Bauru","Brasil","Bauru, SP",371690,"100001 até 500000"
3506102,"Sudeste","SP","Bebedouro","Brasil","Bebedouro, SP",77761,"50001 até 100000"
3506201,"Sudeste","SP","Bento de Abreu","Brasil","Bento de Abreu, SP",2925,"Até 5000"
3506300,"Sudeste","SP","Bernardino de Campos","Brasil","Bernardino de Campos, SP",11180,"10001 até 20000"
3506359,"Sudeste","SP","Bertioga","Brasil","Bertioga, SP",59297,"50001 até 100000"
3506409,"Sudeste","SP","Bilac","Brasil","Bilac, SP",7837,"5001 até 10000"
3506508,"Sudeste","SP","Birigui","Brasil","Birigui, SP",120692,"100001 até 500000"
3506607,"Sudeste","SP","Biritiba-Mirim","Brasil","Biritiba-Mirim, SP",31793,"20001 até 50000"
3506706,"Sudeste","SP","Boa Esperança do Sul","Brasil","Boa Esperança do Sul, SP",14727,"10001 até 20000"
3506805,"Sudeste","SP","Bocaina","Brasil","Bocaina, SP",12040,"10001 até 20000"
3506904,"Sudeste","SP","Bofete","Brasil","Bofete, SP",11236,"10001 até 20000"
3507001,"Sudeste","SP","Boituva","Brasil","Boituva, SP",57910,"50001 até 100000"
3507100,"Sudeste","SP","Bom Jesus dos Perdões","Brasil","Bom Jesus dos Perdões, SP",24023,"20001 até 50000"
3507159,"Sudeste","SP","Bom Sucesso de Itararé","Brasil","Bom Sucesso de Itararé, SP",3888,"Até 5000"
3507209,"Sudeste","SP","Borá","Brasil","Borá, SP",839,"Até 5000"
3507308,"Sudeste","SP","Boracéia","Brasil","Boracéia, SP",4717,"Até 5000"
3507407,"Sudeste","SP","Borborema","Brasil","Borborema, SP",15791,"10001 até 20000"
3507456,"Sudeste","SP","Borebi","Brasil","Borebi, SP",2577,"Até 5000"
3507506,"Sudeste","SP","Botucatu","Brasil","Botucatu, SP",142546,"100001 até 500000"
3507605,"Sudeste","SP","Bragança Paulista","Brasil","Bragança Paulista, SP",164163,"100001 até 500000"
3507704,"Sudeste","SP","Braúna","Brasil","Braúna, SP",5557,"5001 até 10000"
3507753,"Sudeste","SP","Brejo Alegre","Brasil","Brejo Alegre, SP",2812,"Até 5000"
3507803,"Sudeste","SP","Brodowski","Brasil","Brodowski, SP",24092,"20001 até 50000"
3507902,"Sudeste","SP","Brotas","Brasil","Brotas, SP",23858,"20001 até 50000"
3508009,"Sudeste","SP","Buri","Brasil","Buri, SP",19737,"10001 até 20000"
3508108,"Sudeste","SP","Buritama","Brasil","Buritama, SP",16841,"10001 até 20000"
3508207,"Sudeste","SP","Buritizal","Brasil","Buritizal, SP",4408,"Até 5000"
3508306,"Sudeste","SP","Cabrália Paulista","Brasil","Cabrália Paulista, SP",4352,"Até 5000"
3508405,"Sudeste","SP","Cabreúva","Brasil","Cabreúva, SP",47877,"20001 até 50000"
3508504,"Sudeste","SP","Caçapava","Brasil","Caçapava, SP",92587,"50001 até 100000"
3508603,"Sudeste","SP","Cachoeira Paulista","Brasil","Cachoeira Paulista, SP",32773,"20001 até 50000"
3508702,"Sudeste","SP","Caconde","Brasil","Caconde, SP",19025,"10001 até 20000"
3508801,"Sudeste","SP","Cafelândia","Brasil","Cafelândia, SP",17645,"10001 até 20000"
3508900,"Sudeste","SP","Caiabu","Brasil","Caiabu, SP",4211,"Até 5000"
3509007,"Sudeste","SP","Caieiras","Brasil","Caieiras, SP",98223,"50001 até 100000"
3509106,"Sudeste","SP","Caiuá","Brasil","Caiuá, SP",5695,"5001 até 10000"
3509205,"Sudeste","SP","Cajamar","Brasil","Cajamar, SP",73921,"50001 até 100000"
3509254,"Sudeste","SP","Cajati","Brasil","Cajati, SP",28870,"20001 até 50000"
3509304,"Sudeste","SP","Cajobi","Brasil","Cajobi, SP",10444,"10001 até 20000"
3509403,"Sudeste","SP","Cajuru","Brasil","Cajuru, SP",25655,"20001 até 50000"
3509452,"Sudeste","SP","Campina do Monte Alegre","Brasil","Campina do Monte Alegre, SP",5963,"5001 até 10000"
3509502,"Sudeste","SP","Campinas","Brasil","Campinas, SP",1182429,"Maior que 500000"
3509601,"Sudeste","SP","Campo Limpo Paulista","Brasil","Campo Limpo Paulista, SP",82520,"50001 até 100000"
3509700,"Sudeste","SP","Campos do Jordão","Brasil","Campos do Jordão, SP",51454,"50001 até 100000"
3509809,"Sudeste","SP","Campos Novos Paulista","Brasil","Campos Novos Paulista, SP",4900,"Até 5000"
3509908,"Sudeste","SP","Cananéia","Brasil","Cananéia, SP",12609,"10001 até 20000"
3509957,"Sudeste","SP","Canas","Brasil","Canas, SP",4975,"Até 5000"
3510005,"Sudeste","SP","Cândido Mota","Brasil","Cândido Mota, SP",31263,"20001 até 50000"
3510104,"Sudeste","SP","Cândido Rodrigues","Brasil","Cândido Rodrigues, SP",2792,"Até 5000"
3510153,"Sudeste","SP","Canitar","Brasil","Canitar, SP",5025,"5001 até 10000"
3510203,"Sudeste","SP","Capão Bonito","Brasil","Capão Bonito, SP",47463,"20001 até 50000"
3510302,"Sudeste","SP","Capela do Alto","Brasil","Capela do Alto, SP",20005,"20001 até 50000"
3510401,"Sudeste","SP","Capivari","Brasil","Capivari, SP",54298,"50001 até 100000"
3510500,"Sudeste","SP","Caraguatatuba","Brasil","Caraguatatuba, SP",116786,"100001 até 500000"
3510609,"Sudeste","SP","Carapicuíba","Brasil","Carapicuíba, SP",396587,"100001 até 500000"
3510708,"Sudeste","SP","Cardoso","Brasil","Cardoso, SP",12328,"10001 até 20000"
3510807,"Sudeste","SP","Casa Branca","Brasil","Casa Branca, SP",30144,"20001 até 50000"
3510906,"Sudeste","SP","Cássia dos Coqueiros","Brasil","Cássia dos Coqueiros, SP",2591,"Até 5000"
3511003,"Sudeste","SP","Castilho","Brasil","Castilho, SP",20362,"20001 até 50000"
3511102,"Sudeste","SP","Catanduva","Brasil","Catanduva, SP",120691,"100001 até 500000"
3511201,"Sudeste","SP","Catiguá","Brasil","Catiguá, SP",7700,"5001 até 10000"
3511300,"Sudeste","SP","Cedral","Brasil","Cedral, SP",8971,"5001 até 10000"
3511409,"Sudeste","SP","Cerqueira César","Brasil","Cerqueira César, SP",19495,"10001 até 20000"
3511508,"Sudeste","SP","Cerquilho","Brasil","Cerquilho, SP",46733,"20001 até 50000"
3511607,"Sudeste","SP","Cesário Lange","Brasil","Cesário Lange, SP",17587,"10001 até 20000"
3511706,"Sudeste","SP","Charqueada","Brasil","Charqueada, SP",16772,"10001 até 20000"
3511904,"Sudeste","SP","Clementina","Brasil","Clementina, SP",8254,"5001 até 10000"
3512001,"Sudeste","SP","Colina","Brasil","Colina, SP",18376,"10001 até 20000"
3512100,"Sudeste","SP","Colômbia","Brasil","Colômbia, SP",6225,"5001 até 10000"
3512209,"Sudeste","SP","Conchal","Brasil","Conchal, SP",27554,"20001 até 50000"
3512308,"Sudeste","SP","Conchas","Brasil","Conchas, SP",17638,"10001 até 20000"
3512407,"Sudeste","SP","Cordeirópolis","Brasil","Cordeirópolis, SP",23793,"20001 até 50000"
3512506,"Sudeste","SP","Coroados","Brasil","Coroados, SP",5885,"5001 até 10000"
3512605,"Sudeste","SP","Coronel Macedo","Brasil","Coronel Macedo, SP",4840,"Até 5000"
3512704,"Sudeste","SP","Corumbataí","Brasil","Corumbataí, SP",4054,"Até 5000"
3512803,"Sudeste","SP","Cosmópolis","Brasil","Cosmópolis, SP",69086,"50001 até 100000"
3512902,"Sudeste","SP","Cosmorama","Brasil","Cosmorama, SP",7374,"5001 até 10000"
3513009,"Sudeste","SP","Cotia","Brasil","Cotia, SP",237750,"100001 até 500000"
3513108,"Sudeste","SP","Cravinhos","Brasil","Cravinhos, SP",34651,"20001 até 50000"
3513207,"Sudeste","SP","Cristais Paulista","Brasil","Cristais Paulista, SP",8424,"5001 até 10000"
3513306,"Sudeste","SP","Cruzália","Brasil","Cruzália, SP",2161,"Até 5000"
3513405,"Sudeste","SP","Cruzeiro","Brasil","Cruzeiro, SP",81724,"50001 até 100000"
3513504,"Sudeste","SP","Cubatão","Brasil","Cubatão, SP",128748,"100001 até 500000"
3513603,"Sudeste","SP","Cunha","Brasil","Cunha, SP",21929,"20001 até 50000"
3513702,"Sudeste","SP","Descalvado","Brasil","Descalvado, SP",33346,"20001 até 50000"
3513801,"Sudeste","SP","Diadema","Brasil","Diadema, SP",417869,"100001 até 500000"
3513850,"Sudeste","SP","Dirce Reis","Brasil","Dirce Reis, SP",1785,"Até 5000"
3513900,"Sudeste","SP","Divinolândia","Brasil","Divinolândia, SP",11384,"10001 até 20000"
3514007,"Sudeste","SP","Dobrada","Brasil","Dobrada, SP",8744,"5001 até 10000"
3514106,"Sudeste","SP","Dois Córregos","Brasil","Dois Córregos, SP",26891,"20001 até 50000"
3514205,"Sudeste","SP","Dolcinópolis","Brasil","Dolcinópolis, SP",2136,"Até 5000"
3514304,"Sudeste","SP","Dourado","Brasil","Dourado, SP",8909,"5001 até 10000"
3514403,"Sudeste","SP","Dracena","Brasil","Dracena, SP",46324,"20001 até 50000"
3514502,"Sudeste","SP","Duartina","Brasil","Duartina, SP",12549,"10001 até 20000"
3514601,"Sudeste","SP","Dumont","Brasil","Dumont, SP",9468,"5001 até 10000"
3514700,"Sudeste","SP","Echaporã","Brasil","Echaporã, SP",6247,"5001 até 10000"
3514809,"Sudeste","SP","Eldorado","Brasil","Eldorado, SP",15436,"10001 até 20000"
3514908,"Sudeste","SP","Elias Fausto","Brasil","Elias Fausto, SP",17393,"10001 até 20000"
3514924,"Sudeste","SP","Elisiário","Brasil","Elisiário, SP",3537,"Até 5000"
3514957,"Sudeste","SP","Embaúba","Brasil","Embaúba, SP",2476,"Até 5000"
3515004,"Sudeste","SP","Embu das Artes","Brasil","Embu das Artes, SP",267054,"100001 até 500000"
3515103,"Sudeste","SP","Embu-Guaçu","Brasil","Embu-Guaçu, SP",68270,"50001 até 100000"
3515129,"Sudeste","SP","Emilianópolis","Brasil","Emilianópolis, SP",3197,"Até 5000"
3515152,"Sudeste","SP","Engenheiro Coelho","Brasil","Engenheiro Coelho, SP",19497,"10001 até 20000"
3515186,"Sudeste","SP","Espírito Santo do Pinhal","Brasil","Espírito Santo do Pinhal, SP",44170,"20001 até 50000"
3515194,"Sudeste","SP","Espírito Santo do Turvo","Brasil","Espírito Santo do Turvo, SP",4713,"Até 5000"
3515202,"Sudeste","SP","Estrela d'Oeste","Brasil","Estrela d'Oeste, SP",8466,"5001 até 10000"
3515301,"Sudeste","SP","Estrela do Norte","Brasil","Estrela do Norte, SP",2769,"Até 5000"
3515350,"Sudeste","SP","Euclides da Cunha Paulista","Brasil","Euclides da Cunha Paulista, SP",9559,"5001 até 10000"
3515400,"Sudeste","SP","Fartura","Brasil","Fartura, SP",16028,"10001 até 20000"
3515509,"Sudeste","SP","Fernandópolis","Brasil","Fernandópolis, SP",68670,"50001 até 100000"
3515608,"Sudeste","SP","Fernando Prestes","Brasil","Fernando Prestes, SP",5782,"5001 até 10000"
3515657,"Sudeste","SP","Fernão","Brasil","Fernão, SP",1691,"Até 5000"
3515707,"Sudeste","SP","Ferraz de Vasconcelos","Brasil","Ferraz de Vasconcelos, SP",188868,"100001 até 500000"
3515806,"Sudeste","SP","Flora Rica","Brasil","Flora Rica, SP",1571,"Até 5000"
3515905,"Sudeste","SP","Floreal","Brasil","Floreal, SP",2982,"Até 5000"
3516002,"Sudeste","SP","Flórida Paulista","Brasil","Flórida Paulista, SP",14282,"10001 até 20000"
3516101,"Sudeste","SP","Florínia","Brasil","Florínia, SP",2758,"Até 5000"
3516200,"Sudeste","SP","Franca","Brasil","Franca, SP",347237,"100001 até 500000"
3516309,"Sudeste","SP","Francisco Morato","Brasil","Francisco Morato, SP",171602,"100001 até 500000"
3516408,"Sudeste","SP","Franco da Rocha","Brasil","Franco da Rocha, SP",149502,"100001 até 500000"
3516507,"Sudeste","SP","Gabriel Monteiro","Brasil","Gabriel Monteiro, SP",2791,"Até 5000"
3516606,"Sudeste","SP","Gália","Brasil","Gália, SP",6776,"5001 até 10000"
3516705,"Sudeste","SP","Garça","Brasil","Garça, SP",44582,"20001 até 50000"
3516804,"Sudeste","SP","Gastão Vidigal","Brasil","Gastão Vidigal, SP",4683,"Até 5000"
3516853,"Sudeste","SP","Gavião Peixoto","Brasil","Gavião Peixoto, SP",4739,"Até 5000"
3516903,"Sudeste","SP","General Salgado","Brasil","General Salgado, SP",10951,"10001 até 20000"
3517000,"Sudeste","SP","Getulina","Brasil","Getulina, SP",11362,"10001 até 20000"
3517109,"Sudeste","SP","Glicério","Brasil","Glicério, SP",4800,"Até 5000"
3517208,"Sudeste","SP","Guaiçara","Brasil","Guaiçara, SP",11869,"10001 até 20000"
3517307,"Sudeste","SP","Guaimbê","Brasil","Guaimbê, SP",5737,"5001 até 10000"
3517406,"Sudeste","SP","Guaíra","Brasil","Guaíra, SP",40287,"20001 até 50000"
3517505,"Sudeste","SP","Guapiaçu","Brasil","Guapiaçu, SP",20637,"20001 até 50000"
3517604,"Sudeste","SP","Guapiara","Brasil","Guapiara, SP",17640,"10001 até 20000"
3517703,"Sudeste","SP","Guará","Brasil","Guará, SP",21081,"20001 até 50000"
3517802,"Sudeste","SP","Guaraçaí","Brasil","Guaraçaí, SP",8466,"5001 até 10000"
3517901,"Sudeste","SP","Guaraci","Brasil","Guaraci, SP",10964,"10001 até 20000"
3518008,"Sudeste","SP","Guarani d'Oeste","Brasil","Guarani d'Oeste, SP",2017,"Até 5000"
3518107,"Sudeste","SP","Guarantã","Brasil","Guarantã, SP",6672,"5001 até 10000"
3518206,"Sudeste","SP","Guararapes","Brasil","Guararapes, SP",32654,"20001 até 50000"
3518305,"Sudeste","SP","Guararema","Brasil","Guararema, SP",28978,"20001 até 50000"
3518404,"Sudeste","SP","Guaratinguetá","Brasil","Guaratinguetá, SP",120417,"100001 até 500000"
3518503,"Sudeste","SP","Guareí","Brasil","Guareí, SP",17551,"10001 até 20000"
3518602,"Sudeste","SP","Guariba","Brasil","Guariba, SP",39216,"20001 até 50000"
3518701,"Sudeste","SP","Guarujá","Brasil","Guarujá, SP",315563,"100001 até 500000"
3518800,"Sudeste","SP","Guarulhos","Brasil","Guarulhos, SP",1349113,"Maior que 500000"
3518859,"Sudeste","SP","Guatapará","Brasil","Guatapará, SP",7546,"5001 até 10000"
3518909,"Sudeste","SP","Guzolândia","Brasil","Guzolândia, SP",5179,"5001 até 10000"
3519006,"Sudeste","SP","Herculândia","Brasil","Herculândia, SP",9397,"5001 até 10000"
3519055,"Sudeste","SP","Holambra","Brasil","Holambra, SP",14012,"10001 até 20000"
3519071,"Sudeste","SP","Hortolândia","Brasil","Hortolândia, SP",222186,"100001 até 500000"
3519105,"Sudeste","SP","Iacanga","Brasil","Iacanga, SP",11343,"10001 até 20000"
